hardness_mgL,conductivity_uScm
111.84100000000001,284.0
35.7603,159.0
30.6214,103.0
1480.319,19900.0
26.8014,97.0
3.0578000000000003,298.0
106.102,231.0
14.180499999999999,78.0
61.032399999999996,141.0
21.6453,74.0
1.8224,303.0
2081.899,15300.0
33.977199999999996,94.0
142.55,301.0
59.7708,199.0
33.6047,105.0
91.3034,234.0
27.3491,78.0
20.6596,57.0
36.0755,127.0
3252.983,25300.0
148.6034,298.0
41.0826,128.0
139.791,265.0
29.8854,112.0
319.837,605.0
36.0755,125.0
22.9814,76.0
38.1476,136.0
34.091,127.0
23.2573,61.0
2299.277,18300.0
32.1548,105.0
1200.6960000000001,8980.0
13.580400000000001,245.0
9.874199999999998,38.0
28.0499,101.0
352.29799999999994,632.0
100.232,289.0
1901.19,16800.0
33.1053,110.0
216.46040000000002,456.0
49.756600000000006,201.0
38.9974,124.0
5.3050999999999995,459.0
164.278,454.0
44.7888,118.0
7.9028,423.0
128.44400000000002,292.0
251.411,477.0
15.5518,65.0
16.839599999999997,99.0
102.08879999999999,232.0
157.53199999999998,351.0
39.4354,98.0
5.8176,301.0
150.8458,308.0
23.1435,71.0
1841.917,15400.0
30.034399999999998,122.0
20.085700000000003,112.0
1.6602999999999999,333.0
257.412,821.0
25.6888,205.0
38.1738,135.0
13.269300000000001,52.0
127.36580000000001,265.0
9.523800000000001,104.0
28.1244,101.0
2350.576,18400.0
114.9594,269.0
42.3966,106.0
28.1727,88.0
163.8474,433.0
5.879,49.0
184.123,359.0
16.603,81.0
24.8652,75.0
32.032,125.0
25.2639,77.0
10.9606,344.0
274.76,493.0
63.039,150.0
422.173,764.0
122.88839999999999,245.0
262.406,537.0
34.5904,107.0
144.433,315.0
95.8856,229.0
32.917,108.0
30.2579,88.0
11.1972,47.0
4.4684,322.0
3.3205999999999998,262.0
9.1251,72.0
299.951,565.0
2103.013,17600.0
27.2877,271.0
8.3015,41.0
9.9356,346.0
3287.8100000000004,25000.0
365.004,661.0
20.887199999999996,68.0
33.9379,96.0
21.807399999999998,71.0
55.6004,140.0
40.6446,147.0
12.8706,70.0
38.1738,133.0
18.1626,63.0
117.7896,292.0
38.507000000000005,114.0
116.09,286.0
66.3072,305.0
28.0368,93.0
512.687,4650.0
30.2579,79.0
31.9313,108.0
43.1416,145.0
57.9664,351.0
56.940599999999996,124.0
22.8938,71.0
67.95439999999999,163.0
35.9748,149.0
88.009,258.0
61.8298,226.0
118.456,275.0
29.609499999999997,91.0
9.874199999999998,56.0
36.0886,143.0
75.9882,166.0
10.3343,72.0
611.065,2580.0
263.282,840.0
23.0428,73.0
33.192899999999995,120.0
38.9974,136.0
125.771,263.0
145.923,339.0
39.821,107.0
39.0236,183.0
2382.6440000000002,18900.0
34.91459999999999,140.0
1660.2010000000002,13600.0
31.4802,113.0
2720.975,20300.0
36.0886,96.0
19.8491,385.0
2808.853,21000.0
344.332,3100.0
32.2162,101.0
58.071200000000005,273.0
239.057,486.0
147.54399999999998,458.0
18.0136,108.0
129.1178,300.0
2519.545,22600.0
34.091,123.0
32.917,107.0
46.0242,112.0
24.203699999999998,74.0
111.7436,239.0
1949.2470000000003,16800.0
2552.882,19400.0
46.0242,135.0
32.1065,111.0
22.8938,70.0
245.1628,452.0
119.9796,292.0
167.651,361.0
25.119,79.0
38.9974,143.0
90.506,239.0
26.9504,80.0
298.158,3120.0
259.75919999999996,471.0
2849.509,22200.0
17.1024,352.0
383.1460000000001,3610.0
3503.96,27800.0
39.7948,134.0
84.9692,284.0
11.1096,271.0
459.767,4200.0
86.10719999999999,35.0
40.2721,204.0
5.4672,30.0
1780.7610000000002,16000.0
221.578,440.0
151.9764,369.0
29.946799999999996,101.0
33.5302,101.0
58.9734,202.0
17.4397,81.0
181.012,500.0
36.0755,115.0
46.129,121.0
36.9122,116.0
36.9384,128.0
66.85,163.0
198.36,415.0
112.717,533.0
21.982599999999998,72.0
519.171,4810.0
41.0302,155.0
52.6654,280.0
125.23559999999999,37.0
234.40359999999998,448.0
3651.3320000000003,25600.0
174.135,352.0
29.8854,212.0
7.140600000000001,57.0
32.855599999999995,124.0
29.8592,102.0
25.728099999999998,109.0
43.9914,125.0
160.774,1100.0
201.50459999999998,422.0
24.979,71.0
29.035600000000002,108.0
41.0564,132.0
94.4668,273.0
38.1345,130.0
145.74699999999999,336.0
3292.804,26400.0
21.1721,273.0
34.7132,112.0
9.112,62.0
164.147,353.0
156.656,427.0
167.75580000000002,445.0
16.138800000000003,214.0
19.5732,100.0
154.5782,609.0
2.8212,23.0
2.1597,259.0
